abrazar|hug|abraçar|umarmen|embrasser|abbracciare
abrochar|fasten|abotoar|zuknöpfen|boutonner|abbottonare
acampar|camp|acampar|zelten|camper|campeggiare
acariciar|caress|acariciar|streicheln|caresser|accarezzare
aceitar|oil|lubrificar|ölen|huiler|oliare
acercar|bring closer|aproximar|näherbringen|rapprocher|avvicinare
acortar|shorten|encurtar|verkürzen|raccourcir|accorciare
acostar|put to bed|deitar|hinlegen|coucher|mettere a letto
adivinar|guess|adivinhar|erraten|deviner|indovinare
afeitar|shave|barbear|rasieren|raser|radere
afinar|tune|afinar|stimmen|accorder|accordare
agachar|bend down|abaixar|bücken|baisser|chinare
agarrar|grab|agarrar|greifen|saisir|afferrare
agitar|shake|agitar|schütteln|secouer|scuotere
agrandar|enlarge|aumentar|vergrößern|agrandir|ingrandire
agrupar|group|agrupar|gruppieren|regrouper|raggruppare
ahorrar|save money|economizar|sparen|économiser|risparmiare
alejar|move away|afastar|entfernen|éloigner|allontanare
alimentar|feed|alimentar|füttern|nourrir|nutrire
aliviar|relieve|aliviar|lindern|soulager|alleviare
alojar|accommodate|hospedar|beherbergen|héberger|ospitare
alzar|raise|erguer|hochheben|lever|alzare
amar|love|amar|lieben|aimer|amare
amasar|knead|sovar|kneten|pétrir|impastare
andar|walk|andar|gehen|marcher|camminare
animar|cheer on|animar|anfeuern|encourager|incoraggiare
aplaudir|applaud|aplaudir|applaudieren|applaudir|applaudire
aplicar|apply|aplicar|anwenden|appliquer|applicare
apretar|squeeze|apertar|zusammendrücken|serrer|stringere
apuntar|aim|mirar|zielen|viser|mirare
arañar|scratch|arranhar|kratzen|griffer|graffiare
armar|assemble|montar|zusammenbauen|assembler|assemblare
arrancar|pull out|arrancar|herausreißen|arracher|strappare
arreglar|fix|consertar|reparieren|réparer|riparare
arriesgar|risk|arriscar|riskieren|risquer|rischiare
arrugar|wrinkle|amassar|zerknittern|froisser|sgualcire
asar|roast|assar|braten|rôtir|arrostire
asomar|peek out|espiar para fora|hervorschauen|passer la tête|affacciarsi
asustar|scare|assustar|erschrecken|effrayer|spaventare
atar|tie|amarrar|binden|attacher|legare
atornillar|screw in|parafusar|einschrauben|visser|avvitare
atraer|attract|atrair|anziehen|attirer|attirare
azotar|whip|açoitar|auspeitschen|fouetter|frustare
bailar|dance|dançar|tanzen|danser|ballare
bajar|go down|descer|hinuntergehen|descendre|scendere
barrer|sweep|varrer|fegen|balayer|spazzare
beber|drink|beber|trinken|boire|bere
besar|kiss|beijar|küssen|donner un baiser|baciare
bordar|embroider|bordar|sticken|broder|ricamare
borrar|erase|apagar|radieren|effacer|cancellare
botar|bounce|quicar|prellen|faire rebondir|far rimbalzare
brincar|hop|saltitar|hüpfen|sautiller|saltellare
bucear|dive|mergulhar|tauchen|plonger|immergersi
buscar|search|procurar|suchen|chercher|cercare
