ES,EN,PT,DE,FR,IT
perro,dog,cachorro,Hund,chien,cane
árbol,tree,árvore,Baum,arbre,albero
taco,taco,taco,Taco,taco,taco
manzana,apple,maçã,Apfel,pomme,mela
casa,house,casa,Haus,maison,casa
heladera,refrigerator,geladeira,Kühlschrank,réfrigérateur,frigorifero
remera,T-shirt,camiseta,T-Shirt,tee-shirt,maglietta
martillo,hammer,martelo,Hammer,marteau,martello
auto,car,carro,Auto,voiture,automobile
escuela,school,escola,Schule,école,scuola
médico,doctor,médico,Arzt,médecin,medico
fútbol,soccer,futebol,Fußball,football,calcio
correr,run,correr,rennen,courir,correre
cabeza,head,cabeça,Kopf,tête,testa
lápiz,pencil,lápis,Bleistift,crayon,matita
celular,cell phone,celular,Handy,téléphone portable,cellulare
guitarra,guitar,violão,Gitarre,guitare,chitarra
dragón,dragon,dragão,Drache,dragon,drago
tiburón,shark,tubarão,Hai,requin,squalo
lavarse las manos,wash your hands,lavar as mãos,Hände waschen,se laver les mains,lavarsi le mani
elefante,elephant,elefante,Elefant,éléphant,elefante
pasto,grass,grama,Gras,herbe,erba
arepa,arepa,arepa,Arepa,arepa,arepa
pera,pear,pera,Birne,poire,pera
edificio,building,prédio,Gebäude,immeuble,edificio
microondas,microwave,micro-ondas,Mikrowelle,micro-ondes,microonde
blusa,blouse,blusa,Bluse,chemisier,camicetta
tornillo,screw,parafuso,Schraube,vis,vite
camión,truck,caminhão,Lastwagen,camion,camion
farmacia,pharmacy,farmácia,Apotheke,pharmacie,farmacia
dentista,dentist,dentista,Zahnarzt,dentiste,dentista
vóley,volleyball,vôlei,Volleyball,volley-ball,pallavolo
caminar,walk,caminhar,gehen,marcher,camminare
ojo,eye,olho,Auge,œil,occhio
marcador,marker,canetinha,Filzstift,feutre,pennarello
notebook,laptop,notebook,Laptop,ordinateur portable,portatile
violonchelo,cello,violoncelo,Cello,violoncelle,violoncello
sirena,mermaid,sereia,Meerjungfrau,sirène,sirena
ballena,whale,baleia,Wal,baleine,balena
atarse los cordones,tie your shoelaces,amarrar os cadarços,Schnürsenkel binden,faire ses lacets,allacciarsi le scarpe
tigre,tiger,tigre,Tiger,tigre,tigre
raíz,root,raiz,Wurzel,racine,radice
quesadilla,quesadilla,quesadilla,Quesadilla,quesadilla,quesadilla
limón,lemon,limão-siciliano,Zitrone,citron,limone
ventana,window,janela,Fenster,fenêtre,finestra
tostadora,toaster,torradeira,Toaster,grille-pain,tostapane
campera,jacket,jaqueta,Jacke,veste,giacca
serrucho,handsaw,serrote,Handsäge,scie à main,sega a mano
ambulancia,ambulance,ambulância,Krankenwagen,ambulance,ambulanza
verdulería,greengrocer's shop,sacolão,Gemüseladen,magasin de primeurs,negozio di ortofrutta
policía,police officer,policial,Polizist,policier,poliziotto
rugby,rugby,rúgbi,Rugby,rugby,rugby
nadar,swim,nadar,schwimmen,nager,nuotare
oreja,ear,orelha,Ohr,oreille,orecchio
pincel,paintbrush,pincel,Pinsel,pinceau,pennello
mouse,computer mouse,mouse,Computermaus,souris d'ordinateur,mouse
teclado musical,musical keyboard,teclado musical,Keyboard,clavier musical,tastiera musicale
fénix,phoenix,fênix,Phönix,phénix,fenice
morsa,walrus,morsa,Walross,morse,tricheco
sacar la basura,take out the trash,levar o lixo para fora,Müll rausbringen,sortir les poubelles,portare fuori la spazzatura
conejo,rabbit,coelho,Kaninchen,lapin,coniglio
helecho,fern,samambaia,Farn,fougère,felce
ceviche,ceviche,ceviche,Ceviche,ceviche,ceviche
piña,pineapple,abacaxi,Ananas,ananas,ananas
patio,courtyard,pátio,Innenhof,cour,cortile
colador,strainer,coador,Sieb,passoire,colino
